"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,198,"SMR","San Marino",1,"Acquaviva","Castello","Municipality",NA,NA
2,198,"SMR","San Marino",2,"Borgo Maggiore","Castello","Municipality",NA,NA
3,198,"SMR","San Marino",3,"Chiesanuova","Castello","Municipality",NA,NA
4,198,"SMR","San Marino",4,"Domagnano","Castello","Municipality",NA,NA
5,198,"SMR","San Marino",5,"Faetano","Castello","Municipality",NA,NA
6,198,"SMR","San Marino",6,"Fiorentino","Castello","Municipality",NA,NA
7,198,"SMR","San Marino",7,"Montegiardino","Castello","Municipality",NA,NA
8,198,"SMR","San Marino",8,"San Marino","Castello","Municipality",NA,NA
9,198,"SMR","San Marino",9,"Serravalle","Castello","Municipality",NA,NA
